Rank,Rating,Title,Review,Genre,URL
1.,98%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),309,"['drama,', 'gayandlesbian,', 'history,', 'romance']",https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire
2.,98%,One Night in Miami (2020),287,['drama'],https://www.rottentomatoes.com/m/one_night_in_miami
3.,92%,The Invisible Man (2020),401,"['horror,', 'mysteryandthriller']",https://www.rottentomatoes.com/m/the_invisible_man_2020
4.,96%,Soul (2020),307,"['kidsandfamily,', 'animation,', 'comedy,', 'adventure']",https://www.rottentomatoes.com/m/soul_2020
5.,98%,Ma Rainey's Black Bottom (2020),261,"['drama,', 'history,', 'music']",https://www.rottentomatoes.com/m/ma_raineys_black_bottom
6.,88%,1917 (2020),450,"['drama,', 'history,', 'war']",https://www.rottentomatoes.com/m/1917_2019
7.,99%,Never Rarely Sometimes Always (2020),217,['drama'],https://www.rottentomatoes.com/m/never_rarely_sometimes_always
8.,98%,Hamilton (2020),192,['musical'],https://www.rottentomatoes.com/m/hamilton_2020
9.,96%,Nomadland (2020),224,['drama'],https://www.rottentomatoes.com/m/nomadland
10.,96%,Sound of Metal (2020),211,"['drama,', 'music']",https://www.rottentomatoes.com/m/sound_of_metal
11.,99%,Wolfwalkers (2020),149,"['adventure,', 'animation,', 'fantasy']",https://www.rottentomatoes.com/m/wolfwalkers
12.,92%,Da 5 Bloods (2020),288,"['drama,', 'war']",https://www.rottentomatoes.com/m/da_5_bloods
13.,91%,Promising Young Woman (2020),301,"['mysteryandthriller,', 'comedy']",https://www.rottentomatoes.com/m/promising_young_woman
14.,99%,Miss Juneteenth (2020),131,['drama'],https://www.rottentomatoes.com/m/miss_juneteenth
15.,100%,His House (2020),100,"['horror,', 'mysteryandthriller']",https://www.rottentomatoes.com/m/his_house
16.,100%,Crip Camp: A Disability Revolution (2020),92,['documentary'],https://www.rottentomatoes.com/m/crip_camp_a_disability_revolution
17.,100%,76 Days (2020),90,['documentary'],https://www.rottentomatoes.com/m/76_days
18.,100%,Minari (2020),86,['drama'],https://www.rottentomatoes.com/m/minari
19.,94%,Palm Springs (2020),206,['romance'],https://www.rottentomatoes.com/m/palm_springs_2020
20.,98%,David Byrne's American Utopia (2020),125,['musical'],https://www.rottentomatoes.com/m/david_byrnes_american_utopia
21.,88%,Onward (2020),326,"['adventure,', 'kidsandfamily,', 'animation,', 'comedy,', 'fantasy']",https://www.rottentomatoes.com/m/onward
22.,100%,Dick Johnson Is Dead (2020),81,['documentary'],https://www.rottentomatoes.com/m/dick_johnson_is_dead
23.,99%,Collective (Colectiv) (2020),101,['documentary'],https://www.rottentomatoes.com/m/collective_2020
24.,100%,Host (2020),77,"['horror,', 'mysteryandthriller']",https://www.rottentomatoes.com/m/host_2020
25.,92%,The Personal History of David Copperfield (2020),239,"['drama,', 'comedy']",https://www.rottentomatoes.com/m/the_personal_history_of_david_copperfield
26.,98%,The Forty-Year-Old Version (2020),116,"['drama,', 'comedy,', 'music']",https://www.rottentomatoes.com/m/the_forty_year_old_version
27.,98%,Blow the Man Down (2020),116,"['drama,', 'comedy']",https://www.rottentomatoes.com/m/blow_the_man_down
28.,96%,First Cow (2020),157,"['drama,', 'western']",https://www.rottentomatoes.com/m/first_cow
29.,100%,Driveways (2020),71,['drama'],https://www.rottentomatoes.com/m/driveways
30.,99%,Saint Frances (2020),91,"['drama,', 'comedy']",https://www.rottentomatoes.com/m/saint_frances
31.,92%,The Vast of Night (2020),233,"['mysteryandthriller,', 'fantasy']",https://www.rottentomatoes.com/m/the_vast_of_night
32.,89%,The Trial of the Chicago 7 (2020),291,"['drama,', 'history']",https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7
33.,99%,Totally Under Control (2020),88,['documentary'],https://www.rottentomatoes.com/m/totally_under_control
34.,98%,Time (2020),109,['documentary'],https://www.rottentomatoes.com/m/time_2020
35.,100%,Welcome to Chechnya (2020),67,"['documentary,', 'gayandlesbian']",https://www.rottentomatoes.com/m/welcome_to_chechnya
36.,100%,All In: The Fight for Democracy (2020),60,['documentary'],https://www.rottentomatoes.com/m/all_in_the_fight_for_democracy
37.,100%,Mucho Mucho Amor: The Legend of Walter Mercado (2020),59,['documentary'],https://www.rottentomatoes.com/m/mucho_mucho_amor
38.,92%,The Assistant (2020),217,['drama'],https://www.rottentomatoes.com/m/the_assistant_2020
39.,100%,Athlete A (2020),55,['documentary'],https://www.rottentomatoes.com/m/athlete_a
40.,100%,City Hall (2020),54,['documentary'],https://www.rottentomatoes.com/m/city_hall_2020
