index,Titles
1,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020)
2,One Night in Miami (2020)
3,The Invisible Man (2020)
4,Soul (2020)
5,Ma Rainey's Black Bottom (2020)
6,1917 (2020)
7,Never Rarely Sometimes Always (2020)
8,Hamilton (2020)
9,Nomadland (2020)
10,Sound of Metal (2020)
11,Wolfwalkers (2020)
12,Da 5 Bloods (2020)
13,Promising Young Woman (2020)
14,Miss Juneteenth (2020)
15,His House (2020)
16,Crip Camp: A Disability Revolution (2020)
17,76 Days (2020)
18,Minari (2020)
19,Palm Springs (2020)
20,David Byrne's American Utopia (2020)
21,Onward (2020)
22,Dick Johnson Is Dead (2020)
23,Collective (Colectiv) (2020)
24,Host (2020)
25,The Personal History of David Copperfield (2020)
26,The Forty-Year-Old Version (2020)
27,Blow the Man Down (2020)
28,First Cow (2020)
29,Driveways (2020)
30,Saint Frances (2020)
31,The Vast of Night (2020)
32,The Trial of the Chicago 7 (2020)
33,Totally Under Control (2020)
34,Time (2020)
35,Welcome to Chechnya (2020)
36,All In: The Fight for Democracy (2020)
37,Mucho Mucho Amor: The Legend of Walter Mercado (2020)
38,The Assistant (2020)
39,Athlete A (2020)
40,City Hall (2020)
41,Corpus Christi (Boze cialo) (2020)
42,On the Record (2020)
43,Extra Ordinary (2020)
44,The Father (2020)
45,Possessor: Uncut (2020)
46,Slay the Dragon (2020)
47,Rewind (2020)
48,House of Hummingbird (Beolsae) (2020)
49,A Secret Love (2020)
50,Make Up (2020)
51,Coup 53 (2020)
52,The Painter and the Thief (2020)
53,Coded Bias (2020)
54,Mystify: Michael Hutchence (2020)
55,The Half of It (2020)
56,Relic (2020)
57,The Fight (2020)
58,Farewell Amor (2020)
59,Babyteeth (2020)
60,Boys State (2020)
61,Beats (2020)
62,Vitalina Varela (2020)
63,Circus of Books (2020)
64,La Llorona (2020)
65,Anything for Jackson (2020)
66,Spontaneous (2020)
67,Rocks (2020)
68,Disclosure (2020)
69,The Swerve (2020)
70,"Why Don't You Just Die! (Papa, sdokhni) (2020)"
71,The Go-Go's (2020)
72,Fourteen (2020)
73,The Last Tree (2020)
74,The Dissident (2020)
75,Night of the Kings (La Nuit des Rois) (2020)
76,Fireball: Visitors from Darker Worlds (2020)
77,Another Round (Druk) (2020)
78,Feels Good Man (2020)
79,"Yes, God, Yes (2020)"
80,Bacurau (Nighthawk) (2020)
81,A Shaun the Sheep Movie: Farmageddon (2020)
82,John Lewis: Good Trouble (2020)
83,Enola Holmes (2020)
84,"A White, White Day (Hvítur, hvítur dagur) (2020)"
85,Borat: Subsequent Moviefilm (2020)
86,Emma. (2020)
87,Shithouse (2020)
88,Shirley (2020)
89,Blood on Her Name (2020)
90,Zappa (2020)
91,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020)
92,On The Rocks (2020)
93,The Bee Gees: How Can You Mend a Broken Heart (2020)
94,Class Action Park (2020)
95,Just Mercy (2020)
96,Dating Amber (2020)
97,Red Penguins (2020)
98,Kajillionaire (2020)
99,Ordinary Love (2020)
100,News of the World (2020)
