Rank,Rating,Title,Review
1.,98%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),309
2.,98%,One Night in Miami (2020),287
3.,92%,The Invisible Man (2020),401
4.,96%,Soul (2020),307
5.,98%,Ma Rainey's Black Bottom (2020),261
6.,88%,1917 (2020),450
7.,99%,Never Rarely Sometimes Always (2020),217
8.,98%,Hamilton (2020),192
9.,96%,Nomadland (2020),224
10.,96%,Sound of Metal (2020),211
11.,99%,Wolfwalkers (2020),149
12.,92%,Da 5 Bloods (2020),288
13.,91%,Promising Young Woman (2020),301
14.,99%,Miss Juneteenth (2020),131
15.,100%,His House (2020),100
16.,100%,Crip Camp: A Disability Revolution (2020),92
17.,100%,76 Days (2020),90
18.,100%,Minari (2020),86
19.,94%,Palm Springs (2020),206
20.,98%,David Byrne's American Utopia (2020),125
21.,88%,Onward (2020),326
22.,100%,Dick Johnson Is Dead (2020),81
23.,99%,Collective (Colectiv) (2020),101
24.,100%,Host (2020),77
25.,92%,The Personal History of David Copperfield (2020),239
26.,98%,The Forty-Year-Old Version (2020),116
27.,98%,Blow the Man Down (2020),116
28.,96%,First Cow (2020),157
29.,100%,Driveways (2020),71
30.,99%,Saint Frances (2020),91
31.,92%,The Vast of Night (2020),233
32.,89%,The Trial of the Chicago 7 (2020),291
33.,99%,Totally Under Control (2020),88
34.,98%,Time (2020),109
35.,100%,Welcome to Chechnya (2020),67
36.,100%,All In: The Fight for Democracy (2020),60
37.,100%,Mucho Mucho Amor: The Legend of Walter Mercado (2020),59
38.,92%,The Assistant (2020),217
39.,100%,Athlete A (2020),55
40.,100%,City Hall (2020),54
41.,98%,Corpus Christi (Boze cialo) (2020),93
42.,99%,On the Record (2020),70
43.,98%,Extra Ordinary (2020),89
44.,100%,The Father (2020),49
45.,93%,Possessor: Uncut (2020),190
46.,100%,Slay the Dragon (2020),47
47.,100%,Rewind (2020),44
48.,100%,House of Hummingbird (Beolsae) (2020),44
49.,100%,A Secret Love (2020),42
50.,100%,Make Up (2020),42
51.,100%,Coup 53 (2020),42
52.,97%,The Painter and the Thief (2020),101
53.,100%,Coded Bias (2020),40
54.,100%,Mystify: Michael Hutchence (2020),40
55.,97%,The Half of It (2020),92
56.,91%,Relic (2020),211
57.,98%,The Fight (2020),65
58.,98%,Farewell Amor (2020),62
59.,94%,Babyteeth (2020),141
60.,94%,Boys State (2020),139
61.,98%,Beats (2020),58
62.,98%,Vitalina Varela (2020),56
63.,98%,Circus of Books (2020),56
64.,97%,La Llorona (2020),76
65.,98%,Anything for Jackson (2020),55
66.,98%,Spontaneous (2020),54
67.,98%,Rocks (2020),53
68.,98%,Disclosure (2020),51
69.,98%,The Swerve (2020),51
70.,97%,"Why Don't You Just Die! (Papa, sdokhni) (2020)",70
71.,98%,The Go-Go's (2020),44
72.,98%,Fourteen (2020),44
73.,98%,The Last Tree (2020),43
74.,97%,The Dissident (2020),61
75.,98%,Night of the Kings (La Nuit des Rois) (2020),40
76.,98%,Fireball: Visitors from Darker Worlds (2020),41
77.,93%,Another Round (Druk) (2020),140
78.,96%,Feels Good Man (2020),75
79.,94%,"Yes, God, Yes (2020)",115
80.,92%,Bacurau (Nighthawk) (2020),155
81.,96%,A Shaun the Sheep Movie: Farmageddon (2020),74
82.,96%,John Lewis: Good Trouble (2020),68
83.,90%,Enola Holmes (2020),189
84.,96%,"A White, White Day (Hvítur, hvítur dagur) (2020)",67
85.,85%,Borat: Subsequent Moviefilm (2020),286
86.,87%,Emma. (2020),242
87.,96%,Shithouse (2020),57
88.,87%,Shirley (2020),238
89.,96%,Blood on Her Name (2020),54
90.,96%,Zappa (2020),52
91.,78%,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020),416
92.,86%,On The Rocks (2020),253
93.,96%,The Bee Gees: How Can You Mend a Broken Heart (2020),49
94.,96%,Class Action Park (2020),49
95.,84%,Just Mercy (2020),291
96.,96%,Dating Amber (2020),46
97.,96%,Red Penguins (2020),45
98.,89%,Kajillionaire (2020),185
99.,93%,Ordinary Love (2020),101
100.,88%,News of the World (2020),203
